"Data Source","World Development Indicators",

"Last Updated Date","2018-08-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Gambia, The","GMB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","63","76","80","62","70","78","73","85","82","87","92","85","85","90","93","96","96","96","85","74","80","87","87","87","87","95","95","95","96","98","97","96","98","97","96","97","95","",
"Guinea-Bissau","GNB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","9","18","18","47","55","66","54","61","63","67","63","74","45","53","63","54","45","49","53","57","60","64","68","71","74","77","80","83","86","87","87","87","87","87","",
"Equatorial Guinea","GNQ","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","10","19","48","77","77","76","76","77","79","80","81","81","33","34","35","36","37","38","39","40","41","42","43","44","41","24","3","20","16","19","",
"Greece","GRC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","72","95","83","72","60","54","80","82","83","54","54","85","89","89","90","90","90","90","89","88","89","91","92","94","95","96","98","99","99","99","99","99","99","99","99","99","99","",
"Grenada","GRD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","25","43","56","68","76","61","98","80","65","87","80","85","90","89","91","95","80","95","97","88","97","96","98","97","83","99","91","96","99","99","97","95","97","97","97","92","96","",
"Greenland","GRL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","43","42","45","44","48","21","37","16","47","50","66","63","66","75","71","77","66","73","78","77","81","77","82","84","87","87","89","85","95","92","94","88","96","85","73","74","80","",
"Guam","GUM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","35","45","53","58","70","75","64","67","64","77","83","81","79","93","90","86","83","88","90","83","88","85","91","90","91","93","93","94","93","98","95","93","97","98","98","95","97","",
"High income","HIC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","75.4919923451764","80.1944079642651","82.4081617430715","83.7050957837053","86.1304709711628","85.0763734385271","87.5607333957682","86.4812299784591","87.2718225647863","89.6117148910665","88.2983748881018","88.1540540934953","87.4929525650414","87.9953886220428","90.7282831918483","91.2808213276941","93.197952542304","90.5057250446368","90.6722282076865","92.6067036210312","92.2219437052264","93.8510064784026","94.4648811459515","95.7790485984075","95.6338324913652","95.7673356435225","95.8088471930083","95.4938538151191","95.7235988083928","95.4025343703308","95.4768496140698","95.8146808592822","95.4346982023832","95.3425124196024","95.5816473760134","95.5197286617311","95.3935656966756","",
"Hong Kong SAR, China","HKG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","28","34","46","52","41","58","62","58","74","85","84","94","93","94","94","94","94","95","97","95","94","96","95","92","94","98","95","94","93","97","97","97","97","97","97","97","97","",
"Heavily indebted poor countries (HIPC)","HPC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","19.2925247757574","19.5310072859041","21.418407596771","22.9523408176816","26.3233854183294","31.1454768497203","38.2526155473661","41.9663638909351","47.3758703740512","52.608578854255","45.7147406914411","45.5405675150139","48.3704149001142","51.3736529158299","52.9430394375493","52.5996839627946","51.9223290865546","49.6803734325386","49.4939879020895","53.368206468954","54.5937913415835","57.1210150196172","61.3996676165239","64.8887631103904","68.3208820580955","69.6739393401368","72.2039460294","72.4503747463054","74.7202390378289","75.1130187254993","76.9967351529431","78.0803046977546","77.942283352316","79.752492717182","79.7603015851647","80.3131441092227","",
"Croatia","HRV","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","85","87","90","91","92","93","93","93","94","95","94","96","96","96","96","96","96","97","96","96","96","95","94","93","",
"Haiti","HTI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","3","14","13","9","14","19","24","28","48","50","41","36","38","39","41","42","42","42","39","38","41","45","48","53","55","60","60","63","63","65","66","68","67","68","48","60","58","",
"Hungary","HUN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"IBRD only","IBD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","37.3560048851396","44.7016764643397","50.2524909716154","52.8370872499478","57.4616226904549","69.427692631444","73.5195566689453","81.1927599919281","77.5622769355432","75.4981235801844","76.1648832947037","77.587138557067","77.708530144522","76.7865269424372","76.5481848922645","76.7306180013214","76.5464678593303","76.6800505477169","77.2745209648351","76.4027762653167","77.6519948032986","79.0930639805297","79.9985332468484","81.3609042510381","81.3384671565749","84.6296712526272","86.5431036420854","88.093255779126","89.2534409971834","89.5638119390985","89.1229705232251","88.655300361238","89.177500983004","90.1168184324971","",
"IDA & IBRD total","IBT","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","33.1206603053464","38.5417012934802","43.7261295500905","47.0097975910782","51.7503687216314","61.9748577987277","67.4452496114949","75.5378766197006","71.058968118907","69.195932496192","69.1116933942837","71.3165802328398","71.5599866291775","70.1145459490256","69.9570939221113","70.2591889131572","69.9206983585158","70.777187771321","71.2701099976344","70.9656854004144","72.5754151852503","74.6463127116775","76.1176781136904","77.6478105324706","78.0208905396816","80.3229893723","82.8563783393255","83.8322637554543","84.2504169087654","84.0225185900289","83.7634240987727","84.0676514035877","84.2371648685844","84.8724814522659","",
"IDA total","IDA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","12.5352885014577","13.7042644544411","17.0115495731976","19.5895969464072","23.9494722304445","29.3767641864353","34.4793740457713","39.4185928614516","49.2006837925375","58.8733091477472","52.074039568184","51.7533935466674","50.6154750295382","55.6913893812034","56.9131699748856","55.414998467217","55.2265104420315","56.1155888498948","55.818206435555","58.4372259502178","58.8518639541617","59.9522545550028","62.4329749749805","65.8831810482371","68.5768221523838","70.4701129991343","71.7629372888754","72.3236385995751","76.1094744262211","76.1409843790741","75.4511859835861","74.3155292401064","74.4763169961306","76.2141717168795","75.8993840852576","76.1527156764962","",
"IDA blend","IDB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","23.7356149230426","30.930369335687","36.0515294062526","40.6284020804783","44.9010604819546","50.3983689086815","59.3808435708769","51.1393714010965","51.7304965889731","41.9731292299647","49.8730100859803","55.1224404994935","47.2090048481029","46.5291895874824","52.4228255739697","53.0871884638047","53.5724367166182","53.2668299631104","53.790707943389","54.0343379672143","54.8055578419621","60.6923260910895","62.9875623336169","63.282436641676","64.5059576305858","71.4025951913633","72.2402087816648","68.01545685593","64.7789876409928","65.9110837081398","67.2451078134505","66.4658810105329","66.4862501222537","",
"Indonesia","IDN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","1","1","6","13","27","47","50","54","57","60","62","64","66","68","69","72","73","74","75","75","76","70","71","71","72","72","73","77","78","81","81","83","85","78","78","79","",
"IDA only","IDX","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","13.5301598026145","14.1613715034114","15.9113121457791","17.4967674919244","20.5685684083496","26.1824175729311","31.4942029712909","36.7387614406548","48.6133794063687","58.6248145707769","52.5326969249061","51.7651480617125","54.9823014375997","58.6012990958642","57.801368396515","59.4261004856657","59.4901524717244","57.9191495363289","57.1322277795685","60.7665963980148","61.5180107671364","62.8755673548528","66.3972975994972","71.1035727672179","72.3043345913405","74.0118105185407","75.8551608134611","76.1487585315325","78.4435004226927","78.0970801526996","79.1987112697103","79.102828241917","78.7923247177495","80.7416398712915","80.6606293258521","81.0230483264381","",
"Isle of Man","IMN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","6","6","12","14","16","18","20","30","40","50","70","57","56","61","67","71","66","62","61","59","58","59","59","61","63","65","65","64","70","74","79","82","82","83","85","87","88","",
"Not classified","INX","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","34","36","43","42","45","45","44","44","43","65","65","67","68","70","71","73","74","76","84","86","86","84","83","86","89","90","91","92","93","94","94","95","95","96","96","95","95","",
"Iran, Islamic Rep.","IRN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","32","29","41","33","33","51","57","57","88","82","91","88","97","99","95","98","99","99","99","99","99","96","99","99","99","95","98","99","99","99","99","99","99","98","99","98","99","",
"Iraq","IRQ","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","14","13","18","16","67","86","91","94","87","87","83","78","74","70","72","74","76","78","76","81","80","78","77","75","74","65","59","57","69","78","74","79","69","68","64","58","63","",
"Iceland","ISL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","99","99","98","94","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","92","95","97","99","95","97","97","98","96","96","95","89","91","90","92","91","",
"Israel","ISR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","84","91","92","89","87","85","92","92","92","92","93","94","95","96","95","96","94","95","92","91","93","92","90","93","95","93","95","95","94","96","95","94","94","96","95","95","94","",
"Italy","ITA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","95","95","95","95","95","96","95","95","95","87","93","93","96","94","95","96","97","96","96","96","96","97","96","95","93","93","",
"Jamaica","JAM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","24","39","34","51","58","60","74","81","82","85","86","85","84","91","93","90","92","90","86","89","93","99","99","96","98","99","95","92","91","90","94","92","96","93","92","91","99","",
"Jordan","JOR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","30","81","75","76","81","85","88","90","93","94","92","92","92","91","94","95","96","99","99","85","91","99","95","97","95","95","98","98","97","98","98","98","98","98","98","99","98","",
"Japan","JPN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","60","75","81","80","82","83","84","85","86","87","90","92","87","85","80","74","99","70","75","80","85","95","96","97","99","98","98","98","98","97","97","97","97","96","96","96","99","",
"Kazakhstan","KAZ","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","76","76","93","95","97","99","98","97","95","95","99","82","98","99","93","99","98","99","99","99","98","95","98","82","",
"Kenya","KEN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","58","70","72","77","82","83","84","86","87","89","92","94","87","79","81","82","82","80","84","73","73","76","80","81","88","88","90","96","94","87","92","89","89","",
"Kyrgyz Republic","KGZ","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","64","82","93","98","98","97","99","99","99","98","98","99","98","92","94","95","95","96","96","96","97","96","97","96","",
"Cambodia","KHM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","17","23","37","37","45","47","38","38","32","35","37","39","43","46","47","53","59","60","54","69","85","82","80","82","91","94","89","88","86","83","88","89","90","",
"Kiribati","KIR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","43","29","53","40","18","37","37","36","63","79","97","70","86","99","71","60","79","91","88","78","90","85","77","70","62","79","86","94","82","86","91","99","94","95","75","78","81","",
"St. Kitts and Nevis","KNA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","56","67","92","90","97","92","99","96","94","99","99","99","99","99","99","99","99","99","97","98","98","99","96","98","95","99","99","99","98","97","95","97","97","96","97","93","97","",
"Korea, Rep.","KOR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","61","61","69","76","76","76","57","58","89","74","79","84","88","93","99","90","80","74","86","97","97","97","97","88","96","98","91","94","94","94","99","99","99","99","98","98","",
"Kuwait","KWT","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","67","79","83","89","89","90","91","92","94","94","71","80","88","97","99","99","99","96","95","94","98","99","99","99","98","99","99","99","99","99","98","99","98","99","95","99","99","",
"Latin America & Caribbean (excluding high income)","LAC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","34.926477036873","39.6166126236649","44.128752644566","47.3303433768652","54.4628631784449","53.3803730044064","54.2743894519463","56.5872659400869","60.0375694735226","61.7950330118984","65.5900510816994","77.1249017276186","76.5805395052453","78.0034668685984","79.4840459477956","82.6575468585772","81.2173492987063","82.202730563781","85.7244290777788","88.697851800379","91.1939863903533","90.3563182770624","91.0462031752495","92.2746011475529","92.8645951312856","93.3509078672613","93.5957942822519","92.9114770513095","91.9734132705345","93.7297785567152","93.1757747364414","92.9560726016426","93.4763993380561","89.4072118753243","87.9112689078645","89.737318515816","89.303904055239","",
"Lao PDR","LAO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","7","7","7","5","4","5","10","17","21","18","22","23","25","48","54","58","60","54","55","51","52","53","49","45","49","57","50","61","67","74","78","79","87","88","89","82","",
"Lebanon","LBN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","17","30","46","63","79","82","86","90","91","92","93","93","92","89","86","83","80","77","74","75","77","78","80","81","81","81","81","81","81","81","81","81","",
"Liberia","LBR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","46","42","39","35","31","60","60","65","75","81","70","77","80","76","50","52","79","",
"Libya","LBY","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","60","67","72","79","81","81","82","82","84","87","84","87","90","96","95","95","96","96","95","94","94","94","93","95","97","98","98","98","98","98","98","98","98","96","94","97","97","",
"St. Lucia","LCA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","56","64","79","81","83","87","78","85","78","92","89","96","96","97","93","98","88","98","88","89","70","99","74","90","91","95","85","99","96","95","97","99","98","99","99","99","95","",
"Latin America & Caribbean","LCN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","37.028051575969","41.9924589098828","46.5285304424526","49.3881247289518","56.0810655432377","55.4566835458648","56.0842891853056","58.8776289051073","62.4054882153026","63.9852902574045","67.997980411381","77.8916673011915","77.3176400810808","78.6065049745499","80.0973867326535","83.1569554635167","81.6801538665969","82.8803193774171","85.8320121884984","88.7203761559796","90.7315448610821","90.1390796898509","91.3807445796995","92.6254761343235","93.2250977590346","93.6134111961594","93.3926650263966","92.7986610290959","92.0781840906289","93.6949551808212","93.2146031146128","92.8116550445519","93.1697292091898","89.7261407025005","88.4846888126169","90.0941651040764","89.542403686262","",
"Least developed countries: UN classification","LDC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","12.8137657992463","13.2595733564087","14.693581173614","16.4253555689863","19.2016583858788","23.2975964863899","29.8343828626257","34.7958347064825","46.1345474173035","56.5761509850875","50.3786161051454","48.6575490212861","52.4887352973332","55.9763431373344","54.9495503193636","56.7997177595454","57.1193969115772","55.4890539395691","53.784869397382","57.5621516833358","58.8971270128953","60.5314738444403","64.3566351761509","69.2853075080792","70.1070102325484","71.8142278553847","74.7654719799561","75.0327805596402","76.80932354275","76.9221936638558","78.689859765138","78.7213865227167","78.5732485867076","79.9510741771366","79.9569949051699","80.09879587028","",
"Low income","LIC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","21.2067944870016","21.1714244688338","22.7039007362581","25.6565907905582","27.4233936265106","33.9273822932037","39.8461770509053","43.8300724916205","49.0732834731732","55.0666429664247","46.7537790466394","47.1265362806505","49.9352825187576","52.0376407660957","53.3268113511663","52.6977835978346","52.0697193329417","50.7081294617855","49.208564756016","52.7147707395202","53.8171676309109","56.3654993306003","60.209052497593","63.8973021001285","66.8516793308511","68.9364473901164","70.8691459660525","70.7478788623248","73.335542647063","73.4508041964092","75.8850867708817","75.5840287927782","75.3207834467379","76.7617735435901","76.7267656121363","77.0448315677496","",
"Liechtenstein","LIE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","46","45","57","64","66","70","75","77","83","87","86","86","88","90","88","93","92","97","94","99","99","98","98","99","97","99","98","98","98","97","99","99","99","99","99","99","99","",
"Lower middle income","LMC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","9.89436259351751","14.0680029228541","16.6146323338251","19.650676947928","25.6614014260289","30.1591492282693","37.4370375275424","45.2782297106749","55.3010252144494","68.5864023760707","60.6675226134448","60.0646233518405","61.3446528265246","66.4972861480404","68.6958157152499","66.1492662824006","64.5943990876657","65.1751938271838","64.4416842272301","64.7514439401351","65.3324754997292","64.4121217945455","66.6440549871204","68.7871303990227","70.6738769905325","71.2694659229972","71.5924684035592","75.0060147617544","78.1660438635935","80.2615403974445","80.4067660531151","80.1691819570075","80.2018357320574","80.5197770039224","80.8130283503951","82.3311650784506","",
"Low & middle income","LMY","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","32.41472491876","37.9764733980686","43.1851094845911","46.5953225273179","51.3870860348577","61.7122608406032","67.2810536457358","75.3975761470927","70.9387794501682","69.0322720772978","68.9520224300336","71.1070373497219","71.2781391394893","69.7475701662354","69.539446822284","69.9030974722284","69.5719806959722","70.4933414782173","71.0117731649633","70.6401507556876","72.2329374275565","74.3502795811531","75.8650985756875","77.4846081740501","77.869269773157","80.180272121045","82.7359826987633","83.7189504229008","84.1618571957287","83.9545828321082","83.6705746407337","83.9755624686583","84.1595126459334","84.8191233511998","",
"Lesotho","LSO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","56","56","61","66","74","82","81","79","80","81","82","84","85","86","87","88","87","87","88","88","83","78","84","90","90","89","89","88","88","91","93","96","95","93","93","93","93","",
"Late-demographic dividend","LTE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","55.3170623137385","67.1436622945553","73.0361694439377","72.7077538138462","72.7657247684455","88.4277969267856","89.8675157333766","92.7664457206478","91.6507831460163","87.3105971798374","86.3208618997856","85.1673634124667","83.0060492937242","84.5839467602001","85.3416520464157","86.8063792327601","87.8632659598225","88.8405977357592","89.4644391374107","88.6861619859887","90.0997558886569","90.4846909516156","90.9367285674044","94.3635577156478","94.2920648989189","96.8053311928328","98.0672889807218","97.7588492855836","97.8229265691673","97.7096565009282","95.9760428408015","97.3667582125183","97.9162091802012","96.6329060014076","",
"Lithuania","LTU","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","83","83","90","91","90","93","93","94","95","95","94","94","94","94","95","96","98","95","92","93","93","93","93","94","",
"Luxembourg","LUX","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","75","68","77","86","95","90","90","90","91","93","94","95","97","98","98","98","98","99","99","99","98","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Latvia","LVA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","80","97","98","93","92","94","95","96","97","97","98","99","99","96","94","94","94","92","92","91","94","92","95","98","",
"Macao SAR, China","MAC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","32","41","45","51","63","85","82","80","81","81","87","86","87","90","95","94","93","91","95","96","94","91","97","98","97","95","99","99","99","99","99","99","99","99","99","",
"Monaco","MCO","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","99","99","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Moldova","MDA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","70","86","96","97","97","97","97","95","97","97","98","98","98","97","92","90","85","90","93","92","90","90","87","89","",
"Madagascar","MDG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","15","23","19","23","30","35","42","45","46","53","65","66","66","57","49","49","52","55","57","60","62","66","78","85","85","84","77","77","70","73","70","74","73","69","77","",
"Maldives","MDV","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","1","1","13","24","28","42","42","86","91","94","98","98","90","96","94","97","97","97","97","98","98","98","98","96","98","98","98","98","98","96","96","99","99","99","99","99","",
"Middle East & North Africa","MEA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","36.2570040597105","37.2103991869051","41.0550104759191","41.5236755276669","50.2961618824433","62.9742541056986","69.3570720701184","71.0951763007975","82.137887974912","85.2395976037649","87.8411303996909","81.5149476798952","84.4952149131427","85.3955204568244","83.3040437742893","86.3567010977423","87.3332780617404","86.4223821484224","89.0324907549397","90.1112478321161","91.1935704427382","91.0899361335125","89.6932720936087","89.1445039126183","90.1514863774387","89.6092158984125","89.9777012978697","89.6907014028457","90.9388044315964","92.129211776997","91.6870947427292","90.9639392993073","87.5156975255212","88.8383723342407","87.941152784418","86.6170550151955","87.798909289191","",
"Mexico","MEX","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","44","43","40","41","52","40","51","62","60","65","53","88","90","82","91","91","95","95","96","96","97","97","97","98","98","98","98","98","96","95","95","97","99","83","87","87","97","",
"Marshall Islands","MHL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","92","71","82","56","67","70","78","78","86","66","39","48","80","68","64","77","74","93","95","96","94","87","80","79","78","85","71","",
"Middle income","MIC","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","33.557692347243","39.3539856682639","45.0635455745784","48.138470839662","52.7872598109733","63.8857629524184","69.5191616731296","77.9562497292977","74.0256749968713","71.9223194247236","71.6201867482031","73.928529975425","74.0598307281439","72.6008033203913","72.4352428342307","73.1630877154178","73.1639540489905","73.6978416468042","74.1564318777035","73.3127861408153","74.5257494281729","76.3790729322719","77.6444613721533","79.1883832176309","79.2945224664619","82.1294981128195","84.7056931268725","85.8977479112511","85.9743223610931","85.7993789875512","85.5301504404503","85.6014478385342","85.8588972316388","86.6223791288594","",
"Macedonia, FYR","MKD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","88","95","93","97","94","95","95","91","96","96","94","97","93","95","95","96","95","96","95","98","95","91","95","",
"Mali","MLI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","18","26","42","34","38","46","39","49","53","52","52","40","43","49","61","63","69","77","78","74","74","73","73","66","66","69","73","64","68","",
"Malta","MLT","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","50","37","86","87","87","47","63","86","82","83","88","92","92","92","92","93","94","95","95","94","89","92","85","74","72","73","76","96","99","99","99","97","97","",
"Myanmar","MMR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","4","5","9","11","12","16","20","23","28","50","88","66","71","73","77","84","88","90","90","75","82","73","79","78","82","73","82","86","85","90","90","84","84","75","88","89","90","",
